first_name,last_name,race,date_of_birth,gender,height,weight,hair_color,eye_color,blood_type,birth_place,img_face,img_body
Senku,Ishigami,1,2004-01-04,1,171.4,61.0,White with Dark Green Tips,Red,1,3,https://static.wikia.nocookie.net/dr-stone/images/8/8b/Senku_Ishigami_Portrait.png/revision/latest/scale-to-width-down/120?cb=20190927164015,https://static.wikia.nocookie.net/dr-stone/images/9/93/Senku_Ishigami_%28Anime%29.png/revision/latest?cb=20190710154134
Taiju,Oki,1,2003-04-02,1,189.0,95.0,Brown,Brown,3,1,,
Ruri,,1,5721-04-14,2,160.0,51.0,Blonde,Teal,4,2,,
Lilian,Weinberg,1,1994-10-01,2,165.0,56.0,Blonde,Teal,3,4,,
Alabaster,,1,1900-01-01,1,0.0,0.0,Blue-Black,Black,5,5,,https://static.wikia.nocookie.net/dr-stone/images/7/79/Alabaster.png/revision/latest/scale-to-width-down/268?cb=20200215103617
Alumi,,1,1900-01-01,2,0.0,0.0,Light Grey,Purple,5,5,,https://static.wikia.nocookie.net/dr-stone/images/c/c9/Alumi_Portrait.png/revision/latest?cb=20190820050810
Amaryllis,,1,5723-02-14,2,160.0,48.0,Black,Copper Brown,3,1,https://static.wikia.nocookie.net/dr-stone/images/a/a6/Amaryllis_Full_Body_%28Anime%29.png/revision/latest/top-crop/width/200/height/150?cb=20250128180812,https://static.wikia.nocookie.net/dr-stone/images/a/a6/Amaryllis_Full_Body_%28Anime%29.png/revision/latest/scale-to-width-down/536?cb=20250128180812
Argo,,1,1900-01-01,1,0.0,0.0,Dark Brown,Black,5,5,,https://static.wikia.nocookie.net/dr-stone/images/5/54/Argo_Anime_Infobox.png/revision/latest/scale-to-width-down/536?cb=20201110211137
Azura,,1,1900-01-01,2,0.0,0.0,Dark Brown,Brick Red,5,5,,https://static.wikia.nocookie.net/dr-stone/images/3/35/Azura_Portrait.png/revision/latest?cb=20190820050801
Beryl,,1,1900-01-01,1,0.0,0.0,Black,Purple,5,5,,
Brody,Dudley,1,1986-05-09,1,182,90,Bald,Black,3,4,https://static.wikia.nocookie.net/dr-stone/images/e/e8/Brody_Portrait.png/revision/latest?cb=20250307181903,https://static.wikia.nocookie.net/dr-stone/images/b/b2/Brody_Full_Body_Anime.png/revision/latest?cb=20250218211031
Byakuya,Ishigami,1,1978-10-08,1,179,70,White with Dark Tips,Brown,4,3,https://static.wikia.nocookie.net/dr-stone/images/3/33/Byakuya_Ishigami_Portrait.png/revision/latest?cb=20191019065327,https://static.wikia.nocookie.net/dr-stone/images/8/8e/Byakuya_Ishigami_anime.png/revision/latest?cb=20201217094838
Carbo,,1,1900-01-01,1,0.0,0.0,Blond,Brown,5,5,,https://static.wikia.nocookie.net/dr-stone/images/3/3e/Carbo_Anime_Infobox.png/revision/latest?cb=20191210073242
Carlos,Barrios,1,1993-05-30,1,185,72,Black,,2,4,,https://static.wikia.nocookie.net/dr-stone/images/7/7f/Carlos_Full_Body_Anime.png/revision/latest?cb=20250211095534
Charlotte,Bony,1,1996-03-18,2,172,65,,,3,4,https://static.wikia.nocookie.net/dr-stone/images/a/ac/Charlotte_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20250320231022,https://static.wikia.nocookie.net/dr-stone/images/a/a3/Charlotte_Anime_Full.png/revision/latest?cb=20250321161445
Chelsea ,Childe,1,2000-12-20,2,148,40,Brown,Brown,2,4,,https://static.wikia.nocookie.net/dr-stone/images/b/bf/Chelsea.png/revision/latest?cb=20210418200633
Chrome,,1,5723-02-04,1,170,63,Dark Brown,Brown,3,2,https://static.wikia.nocookie.net/dr-stone/images/b/bf/Chrome_Portrait.png/revision/latest/scale-to-width-down/1000?cb=20190816200339,https://static.wikia.nocookie.net/dr-stone/images/3/3a/Chrome_Anime_Profile.png/revision/latest?cb=20190816201633
Connie,Lee,1,1991-06-18,2,155,47,Brown,Brown,3,4,,https://static.wikia.nocookie.net/dr-stone/images/b/b4/Connie_Lee_anime.png/revision/latest?cb=20201216120548
Darya,Nikitina,1,1988-03-06,2,163,57,Blond,Purple,2,8,,https://static.wikia.nocookie.net/dr-stone/images/4/41/Darya_Nikitina_anime.png/revision/latest?cb=20201216120521
Dia,,1,1900-01-01,2,0.0,0.0,Blonde,,5,5,https://static.wikia.nocookie.net/dr-stone/images/6/6d/Dia_Portrait.png/revision/latest?cb=20180901083948,
